Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 46, Loss: -2.1231, Val Acc@1: 12.260, Best Acc@1: 12.260
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 47, Loss: -2.2830, Val Acc@1: 13.770, Best Acc@1: 13.770
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 48, Loss: -2.6929, Val Acc@1: 14.350, Best Acc@1: 14.350
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 49, Loss: -2.7970, Val Acc@1: 13.710, Best Acc@1: 14.350
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 50, Loss: -2.4290, Val Acc@1: 12.750, Best Acc@1: 14.350
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 51, Loss: -2.3991, Val Acc@1: 14.370, Best Acc@1: 14.370
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 52, Loss: -2.7853, Val Acc@1: 13.150, Best Acc@1: 14.370
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 53, Loss: -2.8609, Val Acc@1: 12.210, Best Acc@1: 14.370
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 54, Loss: -2.7049, Val Acc@1: 12.690, Best Acc@1: 14.370
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 55, Loss: -2.4688, Val Acc@1: 13.060, Best Acc@1: 14.370
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 56, Loss: -2.6662, Val Acc@1: 14.060, Best Acc@1: 14.370
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 57, Loss: -2.8187, Val Acc@1: 14.800, Best Acc@1: 14.800
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 58, Loss: -2.5508, Val Acc@1: 15.470, Best Acc@1: 15.470
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 59, Loss: -2.7493, Val Acc@1: 17.070, Best Acc@1: 17.070
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 60, Loss: -2.7637, Val Acc@1: 16.140, Best Acc@1: 17.070
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 61, Loss: -2.5965, Val Acc@1: 15.430, Best Acc@1: 17.070
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 62, Loss: -2.6340, Val Acc@1: 16.690, Best Acc@1: 17.070
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 63, Loss: -3.3736, Val Acc@1: 19.900, Best Acc@1: 19.900
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 64, Loss: -3.4918, Val Acc@1: 18.260, Best Acc@1: 19.900
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 65, Loss: -3.5137, Val Acc@1: 19.430, Best Acc@1: 19.900
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 66, Loss: -3.3838, Val Acc@1: 22.720, Best Acc@1: 22.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 67, Loss: -3.2360, Val Acc@1: 19.830, Best Acc@1: 22.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 68, Loss: -3.0056, Val Acc@1: 21.510, Best Acc@1: 22.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 69, Loss: -2.9095, Val Acc@1: 18.320, Best Acc@1: 22.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 70, Loss: -2.6418, Val Acc@1: 19.620, Best Acc@1: 22.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 71, Loss: -3.1574, Val Acc@1: 21.140, Best Acc@1: 22.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 72, Loss: -2.9368, Val Acc@1: 20.660, Best Acc@1: 22.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 73, Loss: -2.8992, Val Acc@1: 20.850, Best Acc@1: 22.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 74, Loss: -3.1927, Val Acc@1: 20.480, Best Acc@1: 22.720
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 75, Loss: -3.1235, Val Acc@1: 23.790, Best Acc@1: 23.790
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 76, Loss: -3.0441, Val Acc@1: 23.170, Best Acc@1: 23.790
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 77, Loss: -2.9082, Val Acc@1: 23.790, Best Acc@1: 23.790
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 78, Loss: -3.5691, Val Acc@1: 26.000, Best Acc@1: 26.000
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 79, Loss: -3.7709, Val Acc@1: 25.610, Best Acc@1: 26.000
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 80, Loss: -3.7603, Val Acc@1: 25.420, Best Acc@1: 26.000
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 81, Loss: -3.8562, Val Acc@1: 28.340, Best Acc@1: 28.340
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 82, Loss: -3.7622, Val Acc@1: 27.580, Best Acc@1: 28.340
